,#Contains_Novel_or_Only_Known(Annotated)_Junctions,as_event_type,gene_name,exclusion_junctions,inclusion_junctions,exclusion_exons,inclusion_exons,intron-exon_junctions,neighboring_constitutive_exons,delta_val,corrected_pval,GeneName
9006,K,alternative_first_exon,"ENSG00000134899.21,ENSG00000270181.3",chr13:102846355-102852117;chr13:102849195-102852117,chr13:102839804-102852117,chr13:102845831-102846354;chr13:102848739-102849194,chr13:102839572-102839803,,,-10.36,0.119424,
9109,N,alternative_first_exon,,"chr7:43647635-43647916,chr7:43647635-43647929,chr7:43647635-43647975,chr7:43647635-43647978;chr7:43647635-43729428",chr7:43647635-43648599,chr7:43729429-43729717,chr7:43648600-43650296,,,22.8,0.16386,
9150,K,alternative_first_exon,"ENSG00000163684.11,ENSG00000255154.7",chr3:58306708-58310506;chr3:58307980-58310506;chr3:58310407-58310506,"chr3:58306418-58310506,chr3:58306652-58310506",chr3:58307763-58307979;chr3:58310054-58310406,chr3:58306262-58306417,,,15,0.072983,RPP14
9177,N,alternative_first_exon,,"chr1:222564126-222566473,chr1:222564126-222569629;chr1:222564126-222577444;chr1:222564126-222570534",chr1:222564126-222569509,chr1:222577445-222577643;chr1:222570535-222570665,chr1:222569510-222569668,,,-12.15,0.216286,TAF1A
9564,K,alternative_first_exon,"ENSG00000049192.15,ENSG00000113391.19","chr5:94053228-94055659,chr5:94053228-94055662,chr5:94053228-94055719,chr5:94053228-94056686,chr5:94053228-94057014,chr5:94053228-94057078,chr5:94053228-94057080,chr5:94053228-94109477,chr5:94053228-94111187;chr5:94053228-94111510",chr5:94053228-94074645,chr5:94111511-94111699,chr5:94074646-94074771,,,-11.95,0.165471,ARB2A
9584,N,alternative_first_exon,,chr2:46613786-46616969,chr2:46613786-46614936,chr2:46616970-46617055,chr2:46614937-46615185,,,-11.48,0.0731,PIGF
9844,K,alternative_first_exon,"ENSG00000204969.7,ENSG00000239389.8,ENSG00000243232.6,ENSG00000248383.4,ENSG00000249158.6,ENSG00000251664.5","chr5:140967235-140978948,chr5:140944465-140978948;chr5:140871495-140978948;chr5:140797353-140978948;chr5:140929326-140978948;chr5:140969332-140978948;chr5:140884663-140978948",chr5:140877840-140978948,chr5:140868246-140871494;chr5:140794852-140797352;chr5:140926893-140929325;chr5:140966476-140969331;chr5:140882124-140884662,chr5:140875308-140877839,,,13.69,0.202624,
10266,K,alternative_first_exon,"ENSG00000105397.14,ENSG00000125744.12","chr19:45489554-45494165,chr19:45489554-45494117",chr19:45489554-45493159,chr19:45494166-45494420,chr19:45493160-45493378,,,11.67,0.145888,RTN2
10346,N,alternative_first_exon,,"chr20:34515501-34519419,chr20:34509828-34519419;chr20:34507909-34519419",chr20:34516462-34519419,chr20:34507695-34507908,chr20:34516409-34516461,,,13.72,0.112707,
10379,K,alternative_first_exon,"ENSG00000001460.18,ENSG00000092853.14","chr1:24401457-24413220,chr1:24401457-24418796,chr1:24401457-24419179;chr1:24401457-24413673",chr1:24401457-24410702,chr1:24413674-24416934,chr1:24410703-24410817,,,-28.14,0.067499,STPG1
10692,N,alternative_first_exon,,chr1:84865544-84879825;chr1:84865544-84893015,chr1:84865544-84865688,chr1:84893016-84893206,chr1:84865689-84866144,,,-10.35,0.150317,LPAR3
10799,N,alternative_first_exon,,chr2:37317180-37324680,chr2:37317180-37317786,chr2:37324681-37324808,chr2:37317787-37317894,,,-11.49,0.062815,PRKD3
10855,N,alternative_first_exon,"ENSG00000106608.16,ENSG00000270617.1","chr7:43887486-43900061,chr7:43887486-43904126,chr7:43887486-43919796;chr7:43887486-43906561;chr7:43887486-43910730;chr7:43887486-43926131;chr7:43887486-43905620",chr7:43887486-43887789,chr7:43906562-43907069;chr7:43910731-43910852;chr7:43926132-43926411;chr7:43905621-43906311,chr7:43887790-43888107,,,-14.22,0.1861,URGCP
11414,K,alternative_first_exon,"ENSG00000117054.13,ENSG00000137955.16","chr1:75786855-75787496,chr1:75787419-75787496,chr1:75787354-75787496;chr1:75786275-75787496","chr1:75786798-75787496,chr1:75786866-75787496,chr1:75786917-75787496,chr1:75786966-75787496",chr1:75786033-75786274,chr1:75786703-75786797,,,-15.98,0.087206,RABGGTB
11568,K,alternative_first_exon,"ENSG00000125952.20,ENSG00000165795.23","chr14:65093816-65102508,chr14:65093816-65102303",chr14:65093816-65101545,chr14:65102509-65102544,chr14:65101546-65101685,,,12.03,0.078755,MAX
11825,K,coord_cassette,"ENSG00000178440.7,ENSG00000204152.11",chr10:49942301-49952125,chr10:49942301-49943234;chr10:49943359-49945031;chr10:49945091-49952125,,chr10:49943235-49943358;chr10:49945032-49945090,,,-24.53,0.162029,TIMM23B
13407,N,alternative_donor,,chr11:65501000-65503120;chr11:65500779-65503120;chr11:65500815-65503120;chr11:65502728-65503120;chr11:65502487-65503120;chr11:65501083-65503120;chr11:65502716-65503120;chr11:65501438-65503120,chr11:65502394-65503120,,chr11:65500779-65500814;chr11:65500815-65500999;chr11:65501000-65501082;chr11:65501083-65501437;chr11:65501438-65502393;chr11:65502394-65502486;chr11:65502487-65502715;chr11:65502716-65502727,chr11:65500778-65500779;chr11:65500814-65500815;chr11:65500999-65501000;chr11:65501082-65501083;chr11:65501437-65501438;chr11:65502393-65502394;chr11:65502486-65502487;chr11:65502715-65502716,,28.18,0.173961,MALAT1
16521,N,alternative_donor,"ENSG00000100320.23,ENSG00000213923.13",chr22:38298204-38298785,chr22:38298204-38298377,,chr22:38298378-38298785,chr22:38298785-38298786,,22.07,0.231297,
16980,N,cassette,"ENSG00000125962.14,ENSG00000271147.8",chrX:102599860-102601463;chrX:102599848-102601463,"chrX:102599860-102600919,chrX:102599848-102600919;chrX:102601033-102601463",,chrX:102600920-102601032,,,-21.55,0.059272,ARMCX5
18173,N,cassette,"ENSG00000119725.19,ENSG00000258653.3",chr14:73921106-73931502;chr14:73909431-73923394;chr14:73909431-73931502;chr14:73921106-73923394,"chr14:73921106-73922065,chr14:73909431-73922065;chr14:73922207-73931502,chr14:73922207-73923394",,chr14:73922066-73922206,,,-16.47,0.118,ZNF410
18755,K,cassette,"ENSG00000145216.16,ENSG00000282278.1",chr4:53377924-53379224,chr4:53377924-53379072;chr4:53379118-53379224,,chr4:53379073-53379117,,,-14.62,0.092731,FIP1L1
18821,N,cassette,"ENSG00000268750.7,ENSG00000269343.8",chr19:57790401-57858575;chr19:57830565-57856103;chr19:57790401-57840837;chr19:57820550-57856106;chr19:57830565-57856106;chr19:57820550-57856103;chr19:57819946-57858575;chr19:57819946-57856103;chr19:57819946-57840837;chr19:57819946-57856106;chr19:57820550-57858575;chr19:57769879-57856103;chr19:57790401-57856103;chr19:57830565-57840837;chr19:57834470-57856103;chr19:57790401-57856106;chr19:57769879-57856106;chr19:57820550-57840837,"chr19:57820550-57839022,chr19:57790401-57839022,chr19:57769879-57839022,chr19:57819946-57839022,chr19:57834470-57839022,chr19:57830565-57839022;chr19:57839150-57856103,chr19:57839150-57858575,chr19:57839150-57856106,chr19:57839150-57840837",,chr19:57839023-57839149,,,12.25,0.126191,
20215,K,cassette,"ENSG00000100359.21,ENSG00000284431.1",chr22:40400814-40402138,chr22:40400814-40401592;chr22:40401676-40402138,,chr22:40401593-40401675,,,-18.13,0.074358,SGSM3
20294,N,cassette,"ENSG00000189319.14,ENSG00000258539.1",chr10:124682380-124760385;chr10:124682380-124706635;chr10:124682380-124744012,"chr10:124682380-124696157;chr10:124696213-124760385,chr10:124696213-124706635,chr10:124696213-124744012",,chr10:124696158-124696212,,,15.59,0.080074,FAM53B
22708,N,cassette,"ENSG00000235884.4,ENSG00000285517.1",chr12:30797211-30799915;chr12:30793070-30799912;chr12:30797211-30799912;chr12:30796552-30799912;chr12:30796030-30799912;chr12:30795812-30799912;chr12:30796217-30799912;chr12:30795846-30799912;chr12:30796217-30799915;chr12:30797373-30799912,"chr12:30797373-30798144,chr12:30796217-30798144,chr12:30795812-30798144,chr12:30797211-30798144,chr12:30796552-30798144,chr12:30796030-30798144,chr12:30793070-30798144,chr12:30795846-30798144;chr12:30798316-30799915,chr12:30798316-30799912",,chr12:30798145-30798315,,,-17.79,0.179334,
23693,N,cassette,"ENSG00000178440.7,ENSG00000204152.11",chr10:49942301-49952125;chr10:49942301-49945031,"chr10:49942301-49943234;chr10:49943359-49945031,chr10:49943359-49952125",,chr10:49943235-49943358,,,-15.68,0.226895,TIMM23B
24106,N,cassette,"ENSG00000272779.1,ENSG00000286129.1",chr22:22307022-22309735;chr22:22307246-22309735;chr22:22307707-22309735;chr22:22307592-22309497;chr22:22307592-22309735;chr22:22307246-22309497,"chr22:22307246-22308696,chr22:22307707-22308696,chr22:22307022-22308696,chr22:22307592-22308696;chr22:22308820-22309735,chr22:22308820-22309497",,chr22:22308697-22308819,,,-19.93,0.075684,
24510,N,cassette,"ENSG00000100014.20,ENSG00000258555.6",chr22:24270925-24302194;chr22:24273886-24302194;chr22:24270984-24302194;chr22:24271302-24302194;chr22:24270984-24313312;chr22:24271599-24302194,"chr22:24271599-24276699,chr22:24271302-24276699,chr22:24273886-24276699,chr22:24270984-24276699,chr22:24270925-24276699;chr22:24276804-24302194,chr22:24276804-24313312",,chr22:24276700-24276803,,,-13.79,0.056938,SPECC1L
43643,N,alternative_acceptor,,chr1:209432081-209432203,chr1:209432081-209432183,,chr1:209432184-209432203,chr1:209432203-209432204,,26.48,0.246045,
43934,N,alternative_acceptor,,chr1:147622532-147623877,chr1:147622532-147623841,,chr1:147623842-147623877,chr1:147623877-147623878,,-25.43,0.188196,BCL9
43985,N,alternative_acceptor,,chr2:201258155-201260556;chr2:201258155-201266486,chr2:201258155-201266460,,chr2:201260557-201266460;chr2:201266461-201266486,chr2:201266460-201266461;chr2:201266486-201266487,,-38.64,0.007156,CASP8
44999,N,alternative_acceptor,,chr12:42460666-42463594,chr12:42461041-42463594,,chr12:42460666-42461040,chr12:42460665-42460666,,18.05,0.230066,
45105,N,alternative_acceptor,,chr3:12840243-12840769,chr3:12840678-12840769,,chr3:12840243-12840677,chr3:12840242-12840243,,17.06,0.200588,RPL32
45357,N,alternative_acceptor,,chr20:63895324-63917576;chr20:63895324-63928339;chr20:63895324-63926541,chr20:63895324-63928334,,chr20:63917577-63926541;chr20:63926542-63928334;chr20:63928335-63928339,chr20:63926541-63926542;chr20:63928334-63928335;chr20:63928339-63928340,,-16.45,0.021278,DNAJC5
45664,N,alternative_acceptor,,chr9:121770725-121772672,chr9:121770725-121772606,,chr9:121772607-121772672,chr9:121772672-121772673,,-10.62,0.04354,DAB2IP
47470,N,alternative_acceptor,,chr11:65911737-65912416;chr11:65911737-65918368;chr11:65911737-65919779;chr11:65911737-65914214;chr11:65911737-65918593;chr11:65911737-65914703;chr11:65911737-65914652,chr11:65911737-65917174,,chr11:65912417-65914214;chr11:65914215-65914652;chr11:65914653-65914703;chr11:65914704-65917174;chr11:65917175-65918368;chr11:65918369-65918593;chr11:65918594-65919779,chr11:65914214-65914215;chr11:65914652-65914653;chr11:65914703-65914704;chr11:65917174-65917175;chr11:65918368-65918369;chr11:65918593-65918594;chr11:65919779-65919780,,-30.72,0.058611,
47569,K,alternative_acceptor,"ENSG00000111641.11,ENSG00000285238.2",chr12:6566325-6566528,chr12:6566337-6566528,,chr12:6566325-6566336,chr12:6566324-6566325,,-12.07,0.234832,NOP2
47617,N,alternative_acceptor,"ENSG00000129255.16,ENSG00000182612.10",chr17:7586778-7587160;chr17:7586778-7587169;chr17:7586778-7586900;chr17:7586778-7587141,chr17:7586778-7586898,,chr17:7586899-7586900;chr17:7586901-7587141;chr17:7587142-7587160;chr17:7587161-7587169,chr17:7586900-7586901;chr17:7587141-7587142;chr17:7587160-7587161;chr17:7587169-7587170,,-12.34,0.062691,MPDU1
47660,N,alternative_acceptor,"ENSG00000004766.17,ENSG00000065883.16",chr7:40088332-40092793;chr7:40088332-40092964;chr7:40088332-40103293,chr7:40088332-40092784,,chr7:40092785-40092793;chr7:40092794-40092964;chr7:40092965-40103293,chr7:40092793-40092794;chr7:40092964-40092965;chr7:40103293-40103294,,-13.95,0.055217,CDK13
47774,K,alternative_acceptor,"ENSG00000111642.15,ENSG00000285238.2",chr12:6600357-6600533,chr12:6600396-6600533,,chr12:6600357-6600395,chr12:6600356-6600357,,-12.28,0.039049,CHD4
49139,N,alternative_acceptor,,chr7:99560696-99562343;chr7:99560696-99562348;chr7:99560696-99562367,chr7:99560696-99561887,,chr7:99561888-99562343;chr7:99562344-99562348;chr7:99562349-99562367,chr7:99562343-99562344;chr7:99562348-99562349;chr7:99562367-99562368,,-25.76,0.019169,ZNF655
